Station,Fietsen,Datumtijd
Maarssen,1.0,2022-10-24 02:49:42.090082+02:00
Middelburg,1.0,2022-10-24 02:49:42.090082+02:00
Meerssen,1.0,2022-10-24 02:49:42.090082+02:00
Meppel,1.0,2022-10-24 02:49:42.090082+02:00
Maastricht,1.0,2022-10-24 02:49:42.090082+02:00
Maastricht Noord,1.0,2022-10-24 02:49:42.090082+02:00
Maastricht Randwyck,1.0,2022-10-24 02:49:42.090082+02:00
Maarheeze,1.0,2022-10-24 02:49:42.090082+02:00
Naarden-Bussum,1.0,2022-10-24 02:49:42.090082+02:00
Nijmegen,1.0,2022-10-24 02:49:42.090082+02:00
Nijmegen Goffert,1.0,2022-10-24 02:49:42.090082+02:00
Nijmegen Heyendaal,1.0,2022-10-24 02:49:42.090082+02:00
Nunspeet,1.0,2022-10-24 02:49:42.090082+02:00
Nijverdal,1.0,2022-10-24 02:49:42.090082+02:00
Oss,1.0,2022-10-24 02:49:42.090082+02:00
Obdam,1.0,2022-10-24 02:49:42.090082+02:00
Oudenbosch,1.0,2022-10-24 02:49:42.090082+02:00
Oldenzaal,1.0,2022-10-24 02:49:42.090082+02:00
Ommen,1.0,2022-10-24 02:49:42.090082+02:00
Olst,1.0,2022-10-24 02:49:42.090082+02:00
Oisterwijk,1.0,2022-10-24 02:49:42.090082+02:00
Overveen,1.0,2022-10-24 02:49:42.090082+02:00
Oss West,1.0,2022-10-24 02:49:42.090082+02:00
Purmerend Overwhere,1.0,2022-10-24 02:49:42.090082+02:00
Purmerend,1.0,2022-10-24 02:49:42.090082+02:00
Putten,1.0,2022-10-24 02:49:42.090082+02:00
Amsterdam RAI,1.0,2022-10-24 02:49:42.090082+02:00
Raalte,1.0,2022-10-24 02:49:42.090082+02:00
Rheden,1.0,2022-10-24 02:49:42.090082+02:00
Rhenen,1.0,2022-10-24 02:49:42.090082+02:00
Rotterdam Lombardijen,1.0,2022-10-24 02:49:42.090082+02:00
Roermond,1.0,2022-10-24 02:49:42.090082+02:00
Rosmalen,1.0,2022-10-24 02:49:42.090082+02:00
Roosendaal,1.0,2022-10-24 02:49:42.090082+02:00
Rijssen,1.0,2022-10-24 02:49:42.090082+02:00
Rijswijk,1.0,2022-10-24 02:49:42.090082+02:00
Rotterdam Alexander,2.0,2022-10-24 02:49:42.090082+02:00
Rotterdam Blaak,1.0,2022-10-24 02:49:42.090082+02:00
Rotterdam Centraal,1.0,2022-10-24 02:49:42.090082+02:00
Reuver,1.0,2022-10-24 02:49:42.090082+02:00
Ravenstein,1.0,2022-10-24 02:49:42.090082+02:00
Soestdijk,1.0,2022-10-24 02:49:42.090082+02:00
Schiedam Centrum,1.0,2022-10-24 02:49:42.090082+02:00
Sliedrecht,1.0,2022-10-24 02:49:42.090082+02:00
Schagen,1.0,2022-10-24 02:49:42.090082+02:00
Schiphol Airport,1.0,2022-10-24 02:49:42.090082+02:00
Sneek,1.0,2022-10-24 02:49:42.090082+02:00
Santpoort Noord,1.0,2022-10-24 02:49:42.090082+02:00
Santpoort Zuid,1.0,2022-10-24 02:49:42.090082+02:00
Sittard,1.0,2022-10-24 02:49:42.090082+02:00
Soest Zuid,1.0,2022-10-24 02:49:42.090082+02:00
Steenwijk,1.0,2022-10-24 02:49:42.090082+02:00
Tilburg,2.0,2022-10-24 02:49:42.090082+02:00
Terborg,1.0,2022-10-24 02:49:42.090082+02:00
Tilburg Reeshof,1.0,2022-10-24 02:49:42.090082+02:00
Tilburg Universiteit,1.0,2022-10-24 02:49:42.090082+02:00
Tiel,1.0,2022-10-24 02:49:42.090082+02:00
Utrecht Centraal,3.0,2022-10-24 02:49:42.090082+02:00
Uitgeest,1.0,2022-10-24 02:49:42.090082+02:00
Utrecht Lunetten,1.0,2022-10-24 02:49:42.090082+02:00
Utrecht Leidsche Rijn,1.0,2022-10-24 02:49:42.090082+02:00
Utrecht Overvecht,1.0,2022-10-24 02:49:42.090082+02:00
Utrecht Terwijde,1.0,2022-10-24 02:49:42.090082+02:00
Utrecht Vaartsche Rijn,1.0,2022-10-24 02:49:42.090082+02:00
Utrecht Zuilen,1.0,2022-10-24 02:49:42.090082+02:00
Voorburg,1.0,2022-10-24 02:49:42.090082+02:00
Veendam,1.0,2022-10-24 02:49:42.090082+02:00
Vught,1.0,2022-10-24 02:49:42.090082+02:00
Voorhout,1.0,2022-10-24 02:49:42.090082+02:00
Vroomshoop,1.0,2022-10-24 02:49:42.090082+02:00
Valkenburg,1.0,2022-10-24 02:49:42.090082+02:00
Venlo,1.0,2022-10-24 02:49:42.090082+02:00
Vierlingsbeek,1.0,2022-10-24 02:49:42.090082+02:00
Veenendaal West,1.0,2022-10-24 02:49:42.090082+02:00
Velp,1.0,2022-10-24 02:49:42.090082+02:00
Venray,1.0,2022-10-24 02:49:42.090082+02:00
Vlissingen,1.0,2022-10-24 02:49:42.090082+02:00
Voorschoten,1.0,2022-10-24 02:49:42.090082+02:00
Varsseveld,1.0,2022-10-24 02:49:42.090082+02:00
Vleuten,1.0,2022-10-24 02:49:42.090082+02:00
Vriezenveen,1.0,2022-10-24 02:49:42.090082+02:00
Wijchen,1.0,2022-10-24 02:49:42.090082+02:00
Woerden,1.0,2022-10-24 02:49:42.090082+02:00
Wolfheze,1.0,2022-10-24 02:49:42.090082+02:00
Wijhe,1.0,2022-10-24 02:49:42.090082+02:00
Weesp,2.0,2022-10-24 02:49:42.090082+02:00
Winschoten,1.0,2022-10-24 02:49:42.090082+02:00
Winsum,1.0,2022-10-24 02:49:42.090082+02:00
Weert,1.0,2022-10-24 02:49:42.090082+02:00
Westervoort,1.0,2022-10-24 02:49:42.090082+02:00
Winterswijk,1.0,2022-10-24 02:49:42.090082+02:00
Zaltbommel,1.0,2022-10-24 02:49:42.090082+02:00
Zaandam,1.0,2022-10-24 02:49:42.090082+02:00
Zuidhorn,1.0,2022-10-24 02:49:42.090082+02:00
Zwolle,2.0,2022-10-24 02:49:42.090082+02:00
Lage Zwaluwe,1.0,2022-10-24 02:49:42.090082+02:00
Zutphen,1.0,2022-10-24 02:49:42.090082+02:00
Zoetermeer,2.0,2022-10-24 02:49:42.090082+02:00
Zoetermeer Oost,1.0,2022-10-24 02:49:42.090082+02:00
Zevenaar,1.0,2022-10-24 02:49:42.090082+02:00
Zevenbergen,1.0,2022-10-24 02:49:42.090082+02:00
Zandvoort aan Zee,1.0,2022-10-24 02:49:42.090082+02:00
Zwijndrecht,1.0,2022-10-24 02:49:42.090082+02:00
's-Hertogenbosch Oost,7.0,2022-10-24 03:49:41.898216+02:00
't Harde,5.0,2022-10-24 03:49:41.898216+02:00
Aalten,3.0,2022-10-24 03:49:41.898216+02:00
Alkmaar,124.0,2022-10-24 03:49:41.898216+02:00
Alkmaar Noord,30.0,2022-10-24 03:49:41.898216+02:00
Almelo,21.0,2022-10-24 03:49:41.898216+02:00
Almere Centrum,,2022-10-24 03:49:41.898216+02:00
Almere Centrum Landdrostdreef,68.0,2022-10-24 03:49:41.898216+02:00
Alphen aan den Rijn,42.0,2022-10-24 03:49:41.898216+02:00
Amersfoort Centraal,274.0,2022-10-24 03:49:41.898216+02:00
Amersfoort Mondriaanplein,48.0,2022-10-24 03:49:41.898216+02:00
Amersfoort Schothorst,27.0,2022-10-24 03:49:41.898216+02:00
Amersfoort Vathorst,4.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Amstel,110.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Bijlmer ArenA,11.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Centraal IJzijde,57.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Centraal Oost,47.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Centraal West,528.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Lelyplein,4.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Muiderpoort,38.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Noord,10.0,2022-10-24 03:49:41.898216+02:00
Amsterdam RAI,24.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Sloterdijk,96.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Zuid Mahlerplein,29.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Zuid Zuidplein,87.0,2022-10-24 03:49:41.898216+02:00
Anna Paulowna,1.0,2022-10-24 03:49:41.898216+02:00
Apeldoorn,273.0,2022-10-24 03:49:41.898216+02:00
Appingedam,1.0,2022-10-24 03:49:41.898216+02:00
Arnhem Centrum,277.0,2022-10-24 03:49:41.898216+02:00
Assen,139.0,2022-10-24 03:49:41.898216+02:00
Baarn,30.0,2022-10-24 03:49:41.898216+02:00
Barendrecht,25.0,2022-10-24 03:49:41.898216+02:00
Barneveld Centrum,3.0,2022-10-24 03:49:41.898216+02:00
Barneveld Noord,5.0,2022-10-24 03:49:41.898216+02:00
Beesd,5.0,2022-10-24 03:49:41.898216+02:00
Beilen,18.0,2022-10-24 03:49:41.898216+02:00
Bergen op Zoom,23.0,2022-10-24 03:49:41.898216+02:00
Best,27.0,2022-10-24 03:49:41.898216+02:00
Beverwijk,41.0,2022-10-24 03:49:41.898216+02:00
Bilthoven,26.0,2022-10-24 03:49:41.898216+02:00
Bloemendaal,4.0,2022-10-24 03:49:41.898216+02:00
Bodegraven,6.0,2022-10-24 03:49:41.898216+02:00
Borne,5.0,2022-10-24 03:49:41.898216+02:00
Boskoop,4.0,2022-10-24 03:49:41.898216+02:00
Bovenkarspel-Grootebroek,2.0,2022-10-24 03:49:41.898216+02:00
Boxmeer,14.0,2022-10-24 03:49:41.898216+02:00
Boxtel,18.0,2022-10-24 03:49:41.898216+02:00
Boxtel - Kluis,10.0,2022-10-24 03:49:41.898216+02:00
Breda Belcrum,210.0,2022-10-24 03:49:41.898216+02:00
Breda Centrum,115.0,2022-10-24 03:49:41.898216+02:00
Breda Prinsenbeek,3.0,2022-10-24 03:49:41.898216+02:00
Breukelen,3.0,2022-10-24 03:49:41.898216+02:00
Brummen,5.0,2022-10-24 03:49:41.898216+02:00
Bunnik,18.0,2022-10-24 03:49:41.898216+02:00
Bussum Zuid,4.0,2022-10-24 03:49:41.898216+02:00
Castricum,51.0,2022-10-24 03:49:41.898216+02:00
Cuijk,16.0,2022-10-24 03:49:41.898216+02:00
Culemborg,14.0,2022-10-24 03:49:41.898216+02:00
Dalfsen,1.0,2022-10-24 03:49:41.898216+02:00
Delden,3.0,2022-10-24 03:49:41.898216+02:00
"Delft, Fietsenstalling",240.0,2022-10-24 03:49:41.898216+02:00
Delfzijl,3.0,2022-10-24 03:49:41.898216+02:00
Den Dolder,5.0,2022-10-24 03:49:41.898216+02:00
Den Haag Centraal Koningin Julianaplein,748.0,2022-10-24 03:49:41.898216+02:00
Den Haag Centraal Stichthage,105.0,2022-10-24 03:49:41.898216+02:00
Den Haag HS,57.0,2022-10-24 03:49:41.898216+02:00
Den Haag Laan van NOI,3.0,2022-10-24 03:49:41.898216+02:00
Den Haag Mariahoeve,1.0,2022-10-24 03:49:41.898216+02:00
Den Helder,25.0,2022-10-24 03:49:41.898216+02:00
Den Helder Zuid,5.0,2022-10-24 03:49:41.898216+02:00
Deurne,3.0,2022-10-24 03:49:41.898216+02:00
Deventer,110.0,2022-10-24 03:49:41.898216+02:00
Deventer Boerhavelaan,21.0,2022-10-24 03:49:41.898216+02:00
Didam,3.0,2022-10-24 03:49:41.898216+02:00
Diemen,,2022-10-24 03:49:41.898216+02:00
Diemen Zuid,1.0,2022-10-24 03:49:41.898216+02:00
Dieren,,2022-10-24 03:49:41.898216+02:00
Doetinchem,4.0,2022-10-24 03:49:41.898216+02:00
Doetinchem de Huet,3.0,2022-10-24 03:49:41.898216+02:00
Dordrecht,37.0,2022-10-24 03:49:41.898216+02:00
Driebergen-Zeist,114.0,2022-10-24 03:49:41.898216+02:00
Driehuis,5.0,2022-10-24 03:49:41.898216+02:00
Dronten,6.0,2022-10-24 03:49:41.898216+02:00
Duiven ,3.0,2022-10-24 03:49:41.898216+02:00
Duivendrecht,,2022-10-24 03:49:41.898216+02:00
Echt,6.0,2022-10-24 03:49:41.898216+02:00
Ede-Wageningen Zuidplein,26.0,2022-10-24 03:49:41.898216+02:00
Ede-Wageningen Zuidzijde,161.0,2022-10-24 03:49:41.898216+02:00
Eindhoven Beukenlaan,,2022-10-24 03:49:41.898216+02:00
Eindhoven Noordzijde,86.0,2022-10-24 03:49:41.898216+02:00
Eindhoven Zuidzijde (centrum),147.0,2022-10-24 03:49:41.898216+02:00
Elst,6.0,2022-10-24 03:49:41.898216+02:00
Emmen,31.0,2022-10-24 03:49:41.898216+02:00
Enkhuizen,19.0,2022-10-24 03:49:41.898216+02:00
Enschede,48.0,2022-10-24 03:49:41.898216+02:00
Ermelo,3.0,2022-10-24 03:49:41.898216+02:00
Etten-Leur,6.0,2022-10-24 03:49:41.898216+02:00
Geldermalsen,1.0,2022-10-24 03:49:41.898216+02:00
Geldrop Fietskluis,8.0,2022-10-24 03:49:41.898216+02:00
Gilze Rijen,5.0,2022-10-24 03:49:41.898216+02:00
Goes,29.0,2022-10-24 03:49:41.898216+02:00
Goor,3.0,2022-10-24 03:49:41.898216+02:00
Gorinchem,1.0,2022-10-24 03:49:41.898216+02:00
Gouda,159.0,2022-10-24 03:49:41.898216+02:00
Gouda Goverwelle,2.0,2022-10-24 03:49:41.898216+02:00
Groningen,668.0,2022-10-24 03:49:41.898216+02:00
Groningen Noord,3.0,2022-10-24 03:49:41.898216+02:00
Groningen P+R Hoogkerk,4.0,2022-10-24 03:49:41.898216+02:00
Groningen P+R Kardinge,4.0,2022-10-24 03:49:41.898216+02:00
Haarlem Fiets Inn,270.0,2022-10-24 03:49:41.898216+02:00
Haarlem Spaarnwoude,3.0,2022-10-24 03:49:41.898216+02:00
Halfweg Zwanenburg,4.0,2022-10-24 03:49:41.898216+02:00
Hardenberg,4.0,2022-10-24 03:49:41.898216+02:00
Harderwijk,33.0,2022-10-24 03:49:41.898216+02:00
Haren,4.0,2022-10-24 03:49:41.898216+02:00
Haren P+R Transferium,,2022-10-24 03:49:41.898216+02:00
Heemskerk,7.0,2022-10-24 03:49:41.898216+02:00
Heemstede-Aerdenhout,20.0,2022-10-24 03:49:41.898216+02:00
Heerenveen,18.0,2022-10-24 03:49:41.898216+02:00
Heerhugowaard,26.0,2022-10-24 03:49:41.898216+02:00
Heerlen,23.0,2022-10-24 03:49:41.898216+02:00
Heeze-Leende,6.0,2022-10-24 03:49:41.898216+02:00
Heiloo,13.0,2022-10-24 03:49:41.898216+02:00
Hellendoorn/Nijverdal OV-fiets Carrousel,8.0,2022-10-24 03:49:41.898216+02:00
Helmond,13.0,2022-10-24 03:49:41.898216+02:00
Helmond 't Hout,3.0,2022-10-24 03:49:41.898216+02:00
Helmond Brandevoort,2.0,2022-10-24 03:49:41.898216+02:00
Helmond Brouwhuis,2.0,2022-10-24 03:49:41.898216+02:00
Hengelo,21.0,2022-10-24 03:49:41.898216+02:00
Hengelo Gezondheidspark,5.0,2022-10-24 03:49:41.898216+02:00
Hillegom,1.0,2022-10-24 03:49:41.898216+02:00
Hilversum,181.0,2022-10-24 03:49:41.898216+02:00
Hilversum Sportpark ,29.0,2022-10-24 03:49:41.898216+02:00
Hollandse Rading OV-fiets Carrousel,20.0,2022-10-24 03:49:41.898216+02:00
Holten,6.0,2022-10-24 03:49:41.898216+02:00
Hoofddorp,62.0,2022-10-24 03:49:41.898216+02:00
Hoogeveen,22.0,2022-10-24 03:49:41.898216+02:00
Hoogezand Sappemeer,2.0,2022-10-24 03:49:41.898216+02:00
Hoogkarspel,3.0,2022-10-24 03:49:41.898216+02:00
Hoorn,62.0,2022-10-24 03:49:41.898216+02:00
Hoorn Kersenboogerd,8.0,2022-10-24 03:49:41.898216+02:00
Horst Sevenum,2.0,2022-10-24 03:49:41.898216+02:00
Houten,69.0,2022-10-24 03:49:41.898216+02:00
Houten Castellum,35.0,2022-10-24 03:49:41.898216+02:00
Kampen,28.0,2022-10-24 03:49:41.898216+02:00
Kerkrade Centrum,1.0,2022-10-24 03:49:41.898216+02:00
Krommenie-Assendelft,3.0,2022-10-24 03:49:41.898216+02:00
Lage Zwaluwe,3.0,2022-10-24 03:49:41.898216+02:00
Landgraaf,4.0,2022-10-24 03:49:41.898216+02:00
Leeuwarden,156.0,2022-10-24 03:49:41.898216+02:00
"Leiden Centraal, Centrumzijde",49.0,2022-10-24 03:49:41.898216+02:00
"Leiden Centraal,Uitgang LUMC",372.0,2022-10-24 03:49:41.898216+02:00
Leiden de Vink,1.0,2022-10-24 03:49:41.898216+02:00
Lelystad Centrum,12.0,2022-10-24 03:49:41.898216+02:00
Lochem,7.0,2022-10-24 03:49:41.898216+02:00
Maarheeze,3.0,2022-10-24 03:49:41.898216+02:00
Maarssen,26.0,2022-10-24 03:49:41.898216+02:00
Maassluis,9.0,2022-10-24 03:49:41.898216+02:00
Maastricht Noord,7.0,2022-10-24 03:49:41.898216+02:00
Maastricht Randwyck,2.0,2022-10-24 03:49:41.898216+02:00
Meerssen,1.0,2022-10-24 03:49:41.898216+02:00
Meppel,23.0,2022-10-24 03:49:41.898216+02:00
Middelburg,23.0,2022-10-24 03:49:41.898216+02:00
Muiden P&R,3.0,2022-10-24 03:49:41.898216+02:00
Naarden-Bussum,45.0,2022-10-24 03:49:41.898216+02:00
Nijmegen,309.0,2022-10-24 03:49:41.898216+02:00
Nijmegen Goffert,1.0,2022-10-24 03:49:41.898216+02:00
Nijmegen Heyendaal,3.0,2022-10-24 03:49:41.898216+02:00
Nootdorp,3.0,2022-10-24 03:49:41.898216+02:00
Nunspeet,5.0,2022-10-24 03:49:41.898216+02:00
Obdam,2.0,2022-10-24 03:49:41.898216+02:00
Oisterwijk,6.0,2022-10-24 03:49:41.898216+02:00
Oldenzaal,1.0,2022-10-24 03:49:41.898216+02:00
Olst,3.0,2022-10-24 03:49:41.898216+02:00
Ommen,,2022-10-24 03:49:41.898216+02:00
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,18.0,2022-10-24 03:49:41.898216+02:00
Oss,12.0,2022-10-24 03:49:41.898216+02:00
Oss West,6.0,2022-10-24 03:49:41.898216+02:00
Otterlo,19.0,2022-10-24 03:49:41.898216+02:00
Oudenbosch,8.0,2022-10-24 03:49:41.898216+02:00
OV-ebike Driebergen-Zeist,27.0,2022-10-24 03:49:41.898216+02:00
OV-fiets - Maastricht,161.0,2022-10-24 03:49:41.898216+02:00
Overveen,3.0,2022-10-24 03:49:41.898216+02:00
P + R Utrecht Science Park (De Uithof),7.0,2022-10-24 03:49:41.898216+02:00
Pijnacker,3.0,2022-10-24 03:49:41.898216+02:00
Pijnacker Zuid,3.0,2022-10-24 03:49:41.898216+02:00
Purmerend,2.0,2022-10-24 03:49:41.898216+02:00
Purmerend Overwhere,,2022-10-24 03:49:41.898216+02:00
Putten,6.0,2022-10-24 03:49:41.898216+02:00
Raalte,1.0,2022-10-24 03:49:41.898216+02:00
Ravenstein,4.0,2022-10-24 03:49:41.898216+02:00
Reuver,4.0,2022-10-24 03:49:41.898216+02:00
Rheden,5.0,2022-10-24 03:49:41.898216+02:00
Rhenen,4.0,2022-10-24 03:49:41.898216+02:00
Rijssen,6.0,2022-10-24 03:49:41.898216+02:00
Rijswijk,29.0,2022-10-24 03:49:41.898216+02:00
Roermond,52.0,2022-10-24 03:49:41.898216+02:00
Roosendaal,46.0,2022-10-24 03:49:41.898216+02:00
Rosmalen,4.0,2022-10-24 03:49:41.898216+02:00
Rotterdam Alexander,6.0,2022-10-24 03:49:41.898216+02:00
Rotterdam Blaak,11.0,2022-10-24 03:49:41.898216+02:00
Rotterdam Centraal,462.0,2022-10-24 03:49:41.898216+02:00
Rotterdam Fietspunt Marconiplein,7.0,2022-10-24 03:49:41.898216+02:00
Rotterdam Fietspunt Wilhelminakade Prinsendam,6.0,2022-10-24 03:49:41.898216+02:00
Rotterdam Kralingse Zoom,11.0,2022-10-24 03:49:41.898216+02:00
Rotterdam Lombardijen,4.0,2022-10-24 03:49:41.898216+02:00
Rotterdam Slinge,6.0,2022-10-24 03:49:41.898216+02:00
s-Hertogenbosch,161.0,2022-10-24 03:49:41.898216+02:00
Santpoort Noord,7.0,2022-10-24 03:49:41.898216+02:00
Santpoort Zuid,7.0,2022-10-24 03:49:41.898216+02:00
Schagen,11.0,2022-10-24 03:49:41.898216+02:00
Schiedam,25.0,2022-10-24 03:49:41.898216+02:00
Schiphol,3.0,2022-10-24 03:49:41.898216+02:00
Sittard,14.0,2022-10-24 03:49:41.898216+02:00
Sleeuwijk Tol West,3.0,2022-10-24 03:49:41.898216+02:00
Sliedrecht,2.0,2022-10-24 03:49:41.898216+02:00
Sneek,2.0,2022-10-24 03:49:41.898216+02:00
Soest Zuid,5.0,2022-10-24 03:49:41.898216+02:00
Soestdijk,4.0,2022-10-24 03:49:41.898216+02:00
Steenwijk,11.0,2022-10-24 03:49:41.898216+02:00
Terborg,5.0,2022-10-24 03:49:41.898216+02:00
Tiel,29.0,2022-10-24 03:49:41.898216+02:00
Tilburg Noord,54.0,2022-10-24 03:49:41.898216+02:00
Tilburg Reeshof,4.0,2022-10-24 03:49:41.898216+02:00
Tilburg West Universiteit,8.0,2022-10-24 03:49:41.898216+02:00
Tilburg Zuid,155.0,2022-10-24 03:49:41.898216+02:00
Uden,5.0,2022-10-24 03:49:41.898216+02:00
Uitgeest,8.0,2022-10-24 03:49:41.898216+02:00
Utrecht Centraal Jaarbeursplein,432.0,2022-10-24 03:49:41.898216+02:00
Utrecht Centraal Knoop,46.0,2022-10-24 03:49:41.898216+02:00
Utrecht Centraal Stationsplein,744.0,2022-10-24 03:49:41.898216+02:00
Utrecht Janskerkhof,1.0,2022-10-24 03:49:41.898216+02:00
Utrecht Leidsche Rijn,2.0,2022-10-24 03:49:41.898216+02:00
Utrecht Lunetten,3.0,2022-10-24 03:49:41.898216+02:00
Utrecht Mariaplaats,9.0,2022-10-24 03:49:41.898216+02:00
Utrecht Overvecht,20.0,2022-10-24 03:49:41.898216+02:00
Utrecht P+R Papendorp,4.0,2022-10-24 03:49:41.898216+02:00
Utrecht P+R Westraven,11.0,2022-10-24 03:49:41.898216+02:00
Utrecht Rijnsweerd,8.0,2022-10-24 03:49:41.898216+02:00
Utrecht Stadhuis,7.0,2022-10-24 03:49:41.898216+02:00
Utrecht Terwijde,3.0,2022-10-24 03:49:41.898216+02:00
Utrecht Vaartsche Rijn Oosterkade,91.0,2022-10-24 03:49:41.898216+02:00
Utrecht Vredenburg,6.0,2022-10-24 03:49:41.898216+02:00
Utrecht Zuilen,11.0,2022-10-24 03:49:41.898216+02:00
Valkenburg,5.0,2022-10-24 03:49:41.898216+02:00
Varsseveld,4.0,2022-10-24 03:49:41.898216+02:00
Veendam,5.0,2022-10-24 03:49:41.898216+02:00
Veenendaal West,7.0,2022-10-24 03:49:41.898216+02:00
Veenendaal-De klomp,22.0,2022-10-24 03:49:41.898216+02:00
Veghel,6.0,2022-10-24 03:49:41.898216+02:00
Velp,2.0,2022-10-24 03:49:41.898216+02:00
Venlo,49.0,2022-10-24 03:49:41.898216+02:00
Venray,21.0,2022-10-24 03:49:41.898216+02:00
Vianen OV-fiets Carrousel,24.0,2022-10-24 03:49:41.898216+02:00
Vierlingsbeek,4.0,2022-10-24 03:49:41.898216+02:00
Vleuten,2.0,2022-10-24 03:49:41.898216+02:00
Vlissingen,15.0,2022-10-24 03:49:41.898216+02:00
Voorburg,30.0,2022-10-24 03:49:41.898216+02:00
Voorhout,1.0,2022-10-24 03:49:41.898216+02:00
Voorschoten,3.0,2022-10-24 03:49:41.898216+02:00
Vriezenveen,4.0,2022-10-24 03:49:41.898216+02:00
Vroomshoop,3.0,2022-10-24 03:49:41.898216+02:00
Vught,7.0,2022-10-24 03:49:41.898216+02:00
Waalwijk,8.0,2022-10-24 03:49:41.898216+02:00
Weert,18.0,2022-10-24 03:49:41.898216+02:00
Weesp,49.0,2022-10-24 03:49:41.898216+02:00
Westervoort,5.0,2022-10-24 03:49:41.898216+02:00
Wijchen,,2022-10-24 03:49:41.898216+02:00
Wijhe,4.0,2022-10-24 03:49:41.898216+02:00
Winschoten,8.0,2022-10-24 03:49:41.898216+02:00
Winsum,4.0,2022-10-24 03:49:41.898216+02:00
Winterswijk,5.0,2022-10-24 03:49:41.898216+02:00
Woerden,35.0,2022-10-24 03:49:41.898216+02:00
Wolfheze,3.0,2022-10-24 03:49:41.898216+02:00
Zaandam,33.0,2022-10-24 03:49:41.898216+02:00
Zaltbommel,21.0,2022-10-24 03:49:41.898216+02:00
Zandvoort,15.0,2022-10-24 03:49:41.898216+02:00
Zeist,21.0,2022-10-24 03:49:41.898216+02:00
Zevenaar,5.0,2022-10-24 03:49:41.898216+02:00
Zevenbergen,3.0,2022-10-24 03:49:41.898216+02:00
Zoetermeer Centrum West,19.0,2022-10-24 03:49:41.898216+02:00
Zoetermeer Driemanspolder,20.0,2022-10-24 03:49:41.898216+02:00
Zoetermeer Oost,3.0,2022-10-24 03:49:41.898216+02:00
Zuidhorn,7.0,2022-10-24 03:49:41.898216+02:00
Zutphen,51.0,2022-10-24 03:49:41.898216+02:00
Zwijndrecht,31.0,2022-10-24 03:49:41.898216+02:00
Zwolle,338.0,2022-10-24 03:49:41.898216+02:00
Zwolle Hanzeland/Zuidzijde,29.0,2022-10-24 03:49:41.898216+02:00
Arnhem Centraal,1.0,2022-10-24 03:49:41.898216+02:00
Almere Centrum,2.0,2022-10-24 03:49:41.898216+02:00
Amersfoort Centraal,2.0,2022-10-24 03:49:41.898216+02:00
Amersfoort Schothorst,1.0,2022-10-24 03:49:41.898216+02:00
Almelo,1.0,2022-10-24 03:49:41.898216+02:00
Alkmaar,1.0,2022-10-24 03:49:41.898216+02:00
Alkmaar Noord,1.0,2022-10-24 03:49:41.898216+02:00
Anna Paulowna,1.0,2022-10-24 03:49:41.898216+02:00
Apeldoorn,1.0,2022-10-24 03:49:41.898216+02:00
Appingedam,1.0,2022-10-24 03:49:41.898216+02:00
Alphen a/d Rijn,1.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Amstel,1.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Bijlmer ArenA,1.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Centraal,3.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Lelylaan,1.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Muiderpoort,1.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Zuid,2.0,2022-10-24 03:49:41.898216+02:00
Assen,1.0,2022-10-24 03:49:41.898216+02:00
Amsterdam Sloterdijk,1.0,2022-10-24 03:49:41.898216+02:00
Aalten,1.0,2022-10-24 03:49:41.898216+02:00
Amersfoort Vathorst,1.0,2022-10-24 03:49:41.898216+02:00
Breda,2.0,2022-10-24 03:49:41.898216+02:00
Bodegraven,1.0,2022-10-24 03:49:41.898216+02:00
Breda-Prinsenbeek,1.0,2022-10-24 03:49:41.898216+02:00
Best,1.0,2022-10-24 03:49:41.898216+02:00
Bergen op Zoom,1.0,2022-10-24 03:49:41.898216+02:00
Bilthoven,1.0,2022-10-24 03:49:41.898216+02:00
Bovenkarspel-Grootebroek,1.0,2022-10-24 03:49:41.898216+02:00
Breukelen,1.0,2022-10-24 03:49:41.898216+02:00
Beilen,1.0,2022-10-24 03:49:41.898216+02:00
Bloemendaal,1.0,2022-10-24 03:49:41.898216+02:00
Brummen,1.0,2022-10-24 03:49:41.898216+02:00
Boxmeer,1.0,2022-10-24 03:49:41.898216+02:00
Borne,1.0,2022-10-24 03:49:41.898216+02:00
Barneveld Centrum,1.0,2022-10-24 03:49:41.898216+02:00
Bunnik,1.0,2022-10-24 03:49:41.898216+02:00
Barneveld Noord,1.0,2022-10-24 03:49:41.898216+02:00
